Gray codes for n = 10 bit
i	 	p		B
451	-	1	-	0 1 0 0 1 0 0 0 1 0 
452	-	3	-	0 1 0 0 1 0 0 1 1 0 
453	-	1	-	0 1 0 0 1 0 0 1 1 1 
454	-	2	-	0 1 0 0 1 0 0 1 0 1 
455	-	1	-	0 1 0 0 1 0 0 1 0 0 
456	-	4	-	0 1 0 0 1 0 1 1 0 0 
457	-	1	-	0 1 0 0 1 0 1 1 0 1 
458	-	2	-	0 1 0 0 1 0 1 1 1 1 
459	-	1	-	0 1 0 0 1 0 1 1 1 0 
460	-	3	-	0 1 0 0 1 0 1 0 1 0 
461	-	1	-	0 1 0 0 1 0 1 0 1 1 
462	-	2	-	0 1 0 0 1 0 1 0 0 1 
463	-	1	-	0 1 0 0 1 0 1 0 0 0 
464	-	5	-	0 1 0 0 1 1 1 0 0 0 
465	-	1	-	0 1 0 0 1 1 1 0 0 1 
466	-	2	-	0 1 0 0 1 1 1 0 1 1 
467	-	1	-	0 1 0 0 1 1 1 0 1 0 
468	-	3	-	0 1 0 0 1 1 1 1 1 0 
469	-	1	-	0 1 0 0 1 1 1 1 1 1 
470	-	2	-	0 1 0 0 1 1 1 1 0 1 
471	-	1	-	0 1 0 0 1 1 1 1 0 0 
472	-	4	-	0 1 0 0 1 1 0 1 0 0 
473	-	1	-	0 1 0 0 1 1 0 1 0 1 
474	-	2	-	0 1 0 0 1 1 0 1 1 1 
475	-	1	-	0 1 0 0 1 1 0 1 1 0 
476	-	3	-	0 1 0 0 1 1 0 0 1 0 
477	-	1	-	0 1 0 0 1 1 0 0 1 1 
